dataset,field_id,scene_date,scene_id,polarization,zonal_mean_db,zonal_min_db,zonal_max_db,zonal_median_db,valid_pixel_count,nodata_pixel_count,radar_raster
sp,SP_1_1,2026-07-05,S1D_IW_GRDH_1SDV_20260705T034530_20260705T034559_003533_006442_rtc,VV,-2.4040440640083043,-9.923856680866882,3.3270014960119414,-2.698194470645919,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-05/sentinel_rtc.tif
sp,SP_1_1,2026-07-06,S1C_IW_GRDH_1SDV_20260706T033657_20260706T033722_008417_010A72_rtc,VH,-14.444251489036215,-21.602733433585698,-9.586821282037794,-14.708768507239796,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-06/sentinel_rtc.tif
sp,SP_1_1,2026-07-06,S1C_IW_GRDH_1SDV_20260706T033657_20260706T033722_008417_010A72_rtc,VV,-4.659757620536399,-12.517968500734886,0.011405382056488167,-4.884205630337778,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-06/sentinel_rtc.tif
sp,SP_1_1,2026-07-09,S1C_IW_GRDH_1SDV_20260709T151315_20260709T151338_008468_010C38_rtc,VH,-14.160400097788079,-21.48972598560068,-9.317832801784432,-14.402521630407424,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-09/sentinel_rtc.tif
sp,SP_1_1,2026-07-09,S1C_IW_GRDH_1SDV_20260709T151315_20260709T151338_008468_010C38_rtc,VV,-4.8906818951728015,-14.876643838734623,0.6494230975468642,-5.259749578866263,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-09/sentinel_rtc.tif
sp,SP_1_1,2026-07-11,S1C_IW_GRDH_1SDV_20260711T034517_20260711T034546_008490_010CEC_rtc,VH,-13.62785355342318,-19.875827137051473,-9.54242506203579,-13.837338665070995,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-11/sentinel_rtc.tif
sp,SP_1_1,2026-07-11,S1C_IW_GRDH_1SDV_20260711T034517_20260711T034546_008490_010CEC_rtc,VV,-3.993279986265579,-11.520776649429258,2.02529493869794,-4.311557944346715,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-11/sentinel_rtc.tif
sp,SP_1_1,2026-07-12,S1D_IW_GRDH_1SDV_20260712T033712_20260712T033737_003635_0067AC_rtc,VH,-12.952196467038897,-19.331357278832304,-8.093050031408398,-13.181221882071725,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-12/sentinel_rtc.tif
sp,SP_1_1,2026-07-12,S1D_IW_GRDH_1SDV_20260712T033712_20260712T033737_003635_0067AC_rtc,VV,-4.947084384480039,-13.567973224201976,0.09789187533982485,-5.247184130111572,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-12/sentinel_rtc.tif
sp,SP_1_1,2026-07-15,S1D_IW_GRDH_1SDV_20260715T151328_20260715T151352_003686_00696B_rtc,VH,-13.175448834434045,-20.564900157490666,-8.16232317653665,-13.385272160158188,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-15/sentinel_rtc.tif
